trace,packets,duration_s,avg_mbps,p50_mbps,p90_mbps,p95_mbps,p99_mbps,max_mbps
constant-1mbps-60s-1.up,5000,59.988,1.000,0.996,1.008,1.008,1.008,1.008
constant-1mbps-60s-2.up,5000,59.988,1.000,0.996,1.008,1.008,1.008,1.008
