elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.002,-1,28,0,-1
4.006,3954832,25,0.303,17.961
6.008,4246404,30,0.438,18.214
8.008,4611307,28,0.606,17.909
10.01,4167501,26,0.941,18.16
12.012,4483930,28,1.043,19.018
14.013,4449107,24,1.344,18.235
16.014,4196750,25,1.645,18.039
18.017,4535737,28,1.682,21.763
20.018,4618164,28,1.816,25.732
22.019,4640423,28,1.95,23.196
24.02,4633218,26,2.151,24.611
26.022,4627338,28,2.286,30.214
28.025,4606948,27,2.456,33.855
30.028,4626772,28,2.559,32.842
32.032,4438197,28,2.663,41.404
34.034,4274850,41,2.663,43.618
36.038,4547900,29,2.7,38.644
38.043,4598068,32,2.7,17.766
40.052,4617230,31,2.7,17.435
42.054,4649262,29,2.735,18.424
44.055,4511261,30,2.736,22.2
46.057,3914167,28,2.838,25.105
48.059,4323026,31,2.838,22.667
50.062,4624697,31,2.838,20.922
52.061,4646601,32,2.838,18.468
54.063,4629114,31,2.838,26.79
56.065,4630233,30,2.84,25.683
58.067,4632052,29,2.843,29
60.068,4629070,32,2.843,32.19
62.076,4620213,29,2.884,28.169
64.078,4636503,26,3.019,32.661
66.081,4631071,31,3.019,35.5
68.086,4606189,29,3.058,47.22
70.09,4318521,30,3.062,35.783
72.093,4335832,29,3.098,19.508
74.093,4612153,32,3.098,18.828
76.097,4634375,31,3.098,17.258
78.1,4629501,29,3.134,19.373
80.102,4627962,30,3.134,20.246
82.103,4637563,28,3.202,19.966
84.107,4626422,28,3.273,18.293
86.108,4642749,30,3.441,19.909
88.113,4622156,27,3.613,26.582
90.114,4625587,37,3.613,35.582
92.116,4090944,30,3.613,43.984
94.118,3463384,30,3.614,40.733
96.12,3826508,30,3.616,37.717
98.122,4413507,30,3.618,37.067
100.127,4639306,30,3.618,33.787
102.129,4625986,31,3.62,31.8
104.13,4636964,30,3.621,25.983
106.131,4628896,30,3.622,18.25
108.133,4619261,30,3.624,22.417
110.135,4627131,32,3.624,18.803
112.137,4627547,31,3.624,18.475
114.139,4642051,30,3.659,18.627
116.141,4625210,29,3.695,19.712
118.143,4623946,30,3.695,20.23
120.145,4630357,30,3.697,26.667
122.145,4631855,29,3.731,28.051
124.147,4620136,30,3.733,31.1
126.148,4635801,31,3.733,29.426
128.153,4624146,30,3.738,27.95
130.154,4654387,28,3.772,26.831
132.155,4622416,31,3.807,37.593
134.16,4509150,30,3.807,55.065
136.162,3933687,29,3.842,47.034
138.163,4104690,29,3.844,22.65
140.163,4471070,31,3.844,20.355
142.166,4633729,30,3.844,17.41
144.169,4634228,31,3.846,16.483
146.171,4631245,28,3.915,20.397
148.173,4630692,32,3.917,22.067
150.174,4624773,30,3.917,21.607
152.179,4621579,30,3.922,20.4
154.18,4632282,30,3.923,28.65
156.185,4626310,30,3.928,24.933
158.186,4649355,30,4.028,24.14
160.189,4631304,27,4.265,26.019
162.191,4637765,32,4.268,30.65
164.193,4619695,34,4.268,35.939
166.196,4623037,30,4.268,39.274
168.196,4630561,30,4.268,38.15
170.197,4618577,30,4.269,34.633
172.199,4633552,30,4.271,17.033
174.201,4634338,30,4.272,17.033
176.203,4636051,28,4.408,17.179
178.204,4631858,29,4.409,19.133
180.205,4626880,32,4.409,21.758
,4528169.69662921,29.6966292134831,3.20904494382022,26.3835730337079
