elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.003,-1,30,0,-1
4.005,2456522,30,0.035,13.797
6.005,2508269,30,0.036,13.783
8.007,2508919,30,0.038,16.067
10.009,2511520,30,0.039,17.117
12.01,2505791,29,0.073,17.22
14.012,2497677,30,0.075,17.233
16.013,2516625,29,0.109,17.254
18.014,2503516,30,0.111,19.083
20.019,2532269,30,0.116,17.833
22.02,2501506,30,0.117,19.3
24.022,2511409,30,0.118,20.167
26.023,2506864,30,0.12,22.283
28.024,2493529,30,0.121,23.45
30.025,2521439,30,0.122,22.717
32.027,2503440,30,0.124,24
34.028,2445770,30,0.158,23.831
36.029,2553466,30,0.159,12.517
38.032,2524743,31,0.159,13.656
40.032,2501006,30,0.16,14.783
42.035,2500742,30,0.163,16.7
44.036,2511832,30,0.164,17.133
46.037,2504106,30,0.164,17.233
48.038,2517293,30,0.165,17.067
50.039,2511550,30,0.167,17.767
52.044,2414421,30,0.172,20.2
54.047,2542654,30,0.208,18.508
56.05,2524960,29,0.245,19.983
58.052,2494848,30,0.246,21.617
60.053,2495271,29,0.247,22.417
62.056,2514159,30,0.25,22.15
64.056,2509704,30,0.25,22.9
66.056,2530784,30,0.251,24
68.058,2465949,30,0.252,20.217
70.058,2544893,30,0.252,13.033
72.06,2503213,30,0.254,13.617
74.061,2515951,30,0.256,15.433
76.062,2511788,30,0.257,16.8
78.063,2500504,30,0.258,17.233
80.064,2503350,30,0.259,17.333
82.069,2523512,30,0.264,17.067
84.074,2505365,30,0.264,17.279
86.077,2516875,30,0.266,17.383
88.08,2506290,30,0.27,18.733
90.082,2485129,30,0.271,20.367
92.083,2531397,29,0.306,20.814
94.084,2498103,30,0.307,21.5
96.087,2509458,30,0.31,22.3
98.088,2531802,30,0.311,23.1
100.09,2497824,30,0.313,24.917
102.092,2495666,30,0.315,18.117
104.093,2528051,30,0.316,13.3
106.094,2502360,30,0.317,13.55
108.096,2500477,30,0.319,15.2
110.097,2490419,30,0.32,17.117
112.098,2526455,30,0.321,17.217
114.1,2511081,30,0.323,17.217
116.1,2490941,30,0.323,17.15
118.101,2527676,30,0.324,18.8
120.102,2439700,30,0.325,17.233
122.108,2524999,31,0.331,19.25
124.109,2525438,30,0.332,20.367
126.11,2498792,29,0.366,22.559
128.11,2544265,30,0.367,21.15
130.112,2480833,30,0.369,22.7
132.113,2512439,30,0.369,23.567
134.114,2484415,30,0.371,24.767
136.116,2513699,30,0.372,13.933
138.117,2515409,30,0.373,13.533
140.12,2496385,30,0.377,13.817
142.123,2516249,30,0.379,13.933
144.124,2516335,29,0.381,16.667
146.129,2496230,30,0.381,17.311
148.128,2489503,30,0.381,17.267
150.129,2549122,30,0.382,17.367
152.131,2495954,30,0.384,20.067
154.133,2521582,30,0.386,18.433
156.134,2499278,30,0.387,19.283
158.14,2508404,30,0.393,20.8
160.141,2471103,30,0.427,22.475
162.142,2515168,30,0.428,22.983
164.146,2507565,30,0.432,22.55
166.144,2531397,30,0.432,23.517
168.145,2405977,30,0.433,23.55
170.147,2545420,30,0.434,12.6
172.148,2508106,30,0.435,13.65
174.149,2517958,30,0.436,14.7
176.151,2503481,30,0.438,16.783
178.151,2505552,30,0.439,17.167
180.152,2505270,30,0.44,17.267
,2506147.87640449,29.9438202247191,0.274269662921348,18.5371460674157
