elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.002,-1,30,0,-1
4.003,2434528,30,0.001,14.25
6.004,2501423,30,0.002,13.733
8.006,2502658,30,0.004,16.467
10.008,2504547,30,0.005,17.067
12.009,2507114,30,0.007,17.217
14.01,2503925,30,0.008,17.15
16.012,2524412,30,0.01,17.083
18.013,2501131,30,0.011,19.683
20.015,2525411,30,0.013,18.317
22.016,2499577,30,0.014,19.433
24.017,2507079,30,0.015,20.983
26.019,2510235,30,0.017,21.667
28.02,2513175,30,0.018,22.033
30.021,2517695,29,0.019,23.233
32.025,2499721,30,0.019,24.115
34.025,2550391,30,0.019,25.133
36.026,3063596,30,0.02,12.683
38.029,2992387,30,0.023,13.633
40.03,3010788,30,0.024,14.15
42.031,2691011,30,0.025,16.517
44.033,2490453,30,0.027,17.3
46.034,2512149,30,0.028,17.3
48.037,2509471,30,0.031,17.117
50.04,2521108,30,0.034,17.35
52.041,2505588,30,0.035,18.6
54.044,2505054,30,0.038,18.017
56.045,2508346,30,0.039,20.05
58.046,2514292,30,0.04,20.833
60.047,2483455,30,0.041,22.8
62.049,2520291,30,0.043,21.567
64.049,2504769,30,0.043,23.05
66.053,2512098,30,0.047,24.183
68.052,2481958,30,0.047,22.3
70.055,2526119,29,0.05,12.633
72.056,2525052,30,0.05,13.623
74.06,2491923,30,0.055,14.2
76.062,2515078,30,0.056,16.933
78.066,2459766,30,0.094,17.339
80.07,2525925,30,0.098,17.283
82.071,2485593,30,0.099,17.05
84.075,2523948,30,0.103,18.133
86.076,2497596,30,0.104,18.5
88.077,2523352,30,0.105,18.117
90.079,2491206,30,0.107,20.467
92.081,2951171,30,0.109,21.567
94.082,2979545,30,0.11,22.4
96.083,2960019,30,0.111,22.55
98.084,2800092,30,0.112,22.667
100.086,2487479,30,0.114,24.517
102.087,2493740,30,0.115,19.867
104.089,2520476,30,0.117,13.15
106.094,2506767,30,0.122,13.567
108.096,2514993,30,0.122,15.689
110.097,2509957,30,0.123,16.85
112.098,2514338,30,0.124,17.317
114.099,2506823,30,0.125,17.217
116.101,2455032,29,0.16,17.068
118.106,2507676,30,0.165,18.9
120.107,2516725,30,0.166,17.533
122.109,2503835,30,0.168,19.25
124.11,2511330,30,0.169,20.15
126.112,2517425,30,0.171,20.817
128.114,2519100,30,0.173,22.617
130.115,2504039,30,0.174,23.067
132.119,2496229,30,0.178,23.017
134.121,2465624,30,0.18,25.05
136.121,2532565,30,0.18,15.3
138.123,2532771,30,0.182,13.5
140.124,2505380,30,0.182,13.836
142.128,2485442,30,0.187,16.567
144.128,2516639,30,0.187,17.05
146.13,2587629,30,0.188,17.233
148.13,3001588,30,0.189,17.133
150.137,2719246,30,0.195,17.2
152.144,2496299,30,0.203,18.85
154.14,2529913,30,0.203,17.5
156.141,2488956,30,0.204,19.567
158.144,2513279,30,0.207,20.667
160.145,2510504,30,0.208,21.667
162.149,2519888,30,0.212,22.433
164.15,2501488,30,0.213,22.867
166.151,2517484,30,0.214,23.833
168.157,2398037,29,0.22,25.133
170.159,2570706,30,0.222,12.4
172.161,2516094,30,0.222,13.689
174.164,2470750,30,0.224,13.817
176.165,2556966,30,0.225,14.117
178.165,2604362,30,0.226,17.3
180.167,3000320,30,0.228,17.283
,2559709.15730337,29.9550561797753,0.106932584269663,18.5737191011236
