elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.003,-1,24,0,-1
4.004,1299014,17,0.602,26.167
6.007,1297522,32,0.602,44.104
8.01,1283501,40,0.602,48.412
10.016,785087,32,0.602,52.721
12.019,1024323,31,0.602,35.59
14.02,1470291,30,0.602,33.833
16.021,2279379,30,0.604,24.267
18.023,2472583,30,0.605,20.583
20.024,2411805,30,0.607,22.333
22.027,2810100,29,0.61,21.417
24.028,2847656,31,0.61,21.541
26.029,2429360,30,0.61,22.7
28.03,2542549,30,0.612,20.983
30.032,2498485,30,0.614,23.117
32.033,2506635,30,0.648,23.746
34.036,2290131,30,0.651,25.1
36.042,2521149,30,0.657,13.4
38.043,2532107,30,0.657,13.533
40.045,2563512,30,0.66,13.917
42.047,2536405,30,0.662,16.4
44.048,2493453,30,0.663,17.183
46.049,2512810,30,0.664,17.317
48.054,2514229,30,0.669,17.133
50.055,2529304,30,0.669,17.533
52.058,2472740,30,0.673,18.75
54.059,2524054,30,0.674,17.667
56.061,2505476,30,0.676,19.8
58.062,2505308,30,0.677,20.783
60.064,2517979,30,0.679,22
62.066,2496497,30,0.681,22.033
64.067,2527885,30,0.681,22.7
66.068,2523888,30,0.683,23.7
68.071,2377115,30,0.686,22.433
70.077,2537742,30,0.686,13
72.079,2535816,30,0.688,13.383
74.081,2534837,30,0.69,14.833
76.081,2493171,30,0.69,16.85
78.083,2509259,30,0.692,17.15
80.088,2513599,30,0.697,17.317
82.092,2519465,30,0.7,17.05
84.093,2515908,30,0.702,17.4
86.094,2507293,30,0.703,17.467
88.095,2507743,30,0.704,18.367
90.097,2513074,30,0.706,20.2
92.1,2512348,30,0.709,21
94.102,2495614,30,0.711,22.167
96.103,2515159,30,0.711,22.517
98.104,2527115,29,0.712,22.583
100.105,2500839,29,0.713,24.333
102.106,2458011,30,0.713,18.426
104.107,2525131,31,0.714,13.083
106.113,2504358,30,0.72,13.333
108.111,2535895,30,0.72,15.617
110.112,2494137,30,0.721,16.933
112.113,2494831,30,0.722,17.233
114.114,2533895,30,0.723,17.333
116.116,2491025,30,0.725,17
118.117,2510841,30,0.726,18.867
120.118,2523860,30,0.727,17.383
122.12,2510263,30,0.729,20.067
124.121,2498762,30,0.73,20.65
126.122,2535098,30,0.732,21.3
128.124,2503518,30,0.733,23.233
130.125,2430431,28,0.8,23.776
132.125,2514556,30,0.801,23.433
134.128,2434823,30,0.803,24.683
136.128,2503273,30,0.804,15.433
138.129,2514389,30,0.805,13.4
140.131,2545176,30,0.807,13.583
142.132,2509090,30,0.808,16.333
144.134,2490576,30,0.809,17.233
146.135,2514436,30,0.81,17.217
148.136,2506319,30,0.812,17.267
150.137,2518600,30,0.813,17.167
152.138,2516359,31,0.813,19.754
154.138,2519887,30,0.813,18.433
156.141,2520636,30,0.816,18.817
158.143,2504170,30,0.818,21.033
160.144,2489693,30,0.819,22.75
162.146,2530557,30,0.821,22.55
164.147,2480830,30,0.855,22.847
166.149,2507462,30,0.857,23.917
168.15,2412380,30,0.859,24.9
170.156,2519051,30,0.865,12.467
172.156,2538609,30,0.865,13.633
174.158,2523983,30,0.866,14.333
176.159,2496230,30,0.868,16.9
178.16,2517321,30,0.869,17.15
180.162,2498745,30,0.87,17.283
,2419309.2247191,30,0.720101123595506,20.3962134831461
